,Fold,accuracy,other_metrics,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_cvae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.8333333134651184,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 0.6, 'recall': 0.42857142857142855, 'f1-score': 0.5, 'support': 7}, 'LumA': {'precision': 0.8888888888888888, 'recall': 0.9523809523809523, 'f1-score': 0.9195402298850575, 'support': 42}, 'LumB': {'precision': 0.6842105263157895, 'recall': 0.7222222222222222, 'f1-score': 0.7027027027027027, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.8333333333333334, 'recall': 0.8333333333333334, 'f1-score': 0.8333333333333334, 'support': 84}, 'macro avg': {'precision': 0.6212865497076023, 'recall': 0.6206349206349207, 'f1-score': 0.617552034793414, 'support': 84}, 'weighted avg': {'precision': 0.7966165413533833, 'recall': 0.8333333333333334, 'f1-score': 0.812935472418231, 'support': 84}}",0.86403406,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.8809523582458496,"{'Basal': {'precision': 1.0, 'recall': 0.9285714285714286, 'f1-score': 0.962962962962963, 'support': 14}, 'Her2': {'precision': 0.8333333333333334, 'recall': 0.7142857142857143, 'f1-score': 0.7692307692307692, 'support': 7}, 'LumA': {'precision': 0.9069767441860465, 'recall': 0.9285714285714286, 'f1-score': 0.9176470588235294, 'support': 42}, 'LumB': {'precision': 0.8, 'recall': 0.8888888888888888, 'f1-score': 0.8421052631578948, 'support': 18}, 'Normal': {'precision': 0.5, 'recall': 0.3333333333333333, 'f1-score': 0.4, 'support': 3}, 'micro avg': {'precision': 0.8809523809523809, 'recall': 0.8809523809523809, 'f1-score': 0.8809523809523809, 'support': 84}, 'macro avg': {'precision': 0.808062015503876, 'recall': 0.7587301587301587, 'f1-score': 0.7783892108350312, 'support': 84}, 'weighted avg': {'precision': 0.8788851974898487, 'recall': 0.8809523809523809, 'f1-score': 0.8781567627800858, 'support': 84}}",0.86403406,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.8690476417541504,"{'Basal': {'precision': 1.0, 'recall': 0.9285714285714286, 'f1-score': 0.962962962962963, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.8571428571428571, 'f1-score': 0.923076923076923, 'support': 7}, 'LumA': {'precision': 0.8367346938775511, 'recall': 0.9761904761904762, 'f1-score': 0.9010989010989012, 'support': 42}, 'LumB': {'precision': 0.8, 'recall': 0.6666666666666666, 'f1-score': 0.7272727272727272, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.8690476190476191, 'recall': 0.8690476190476191, 'f1-score': 0.8690476190476191, 'support': 84}, 'macro avg': {'precision': 0.9273469387755101, 'recall': 0.7523809523809524, 'f1-score': 0.802882302882303, 'support': 84}, 'weighted avg': {'precision': 0.8755102040816327, 'recall': 0.8690476190476191, 'f1-score': 0.8616676533343202, 'support': 84}}",0.86403406,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.8214285969734192,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 0.8, 'recall': 0.5714285714285714, 'f1-score': 0.6666666666666666, 'support': 7}, 'LumA': {'precision': 0.8222222222222222, 'recall': 0.8809523809523809, 'f1-score': 0.8505747126436781, 'support': 42}, 'LumB': {'precision': 0.6666666666666666, 'recall': 0.6666666666666666, 'f1-score': 0.6666666666666666, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3}, 'micro avg': {'precision': 0.8214285714285714, 'recall': 0.8214285714285714, 'f1-score': 0.8214285714285714, 'support': 84}, 'macro avg': {'precision': 0.8577777777777778, 'recall': 0.7571428571428571, 'f1-score': 0.7967816091954022, 'support': 84}, 'weighted avg': {'precision': 0.823015873015873, 'recall': 0.8214285714285714, 'f1-score': 0.8189381499726328, 'support': 84}}",0.86403406,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.8928571343421936,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 0.6, 'recall': 0.8571428571428571, 'f1-score': 0.7058823529411764, 'support': 7}, 'LumA': {'precision': 0.9090909090909091, 'recall': 0.9523809523809523, 'f1-score': 0.9302325581395349, 'support': 42}, 'LumB': {'precision': 0.9230769230769231, 'recall': 0.6666666666666666, 'f1-score': 0.7741935483870968, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 3}, 'micro avg': {'precision': 0.8928571428571429, 'recall': 0.8928571428571429, 'f1-score': 0.8928571428571429, 'support': 84}, 'macro avg': {'precision': 0.8864335664335664, 'recall': 0.8952380952380953, 'f1-score': 0.8820616918935617, 'support': 84}, 'weighted avg': {'precision': 0.9047286047286046, 'recall': 0.8928571428571429, 'f1-score': 0.8922193783740052, 'support': 84}}",0.86403406,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
5,6,0.925000011920929,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 0.8333333333333334, 'recall': 0.8333333333333334, 'f1-score': 0.8333333333333334, 'support': 6}, 'LumA': {'precision': 0.9090909090909091, 'recall': 0.975609756097561, 'f1-score': 0.9411764705882352, 'support': 41}, 'LumB': {'precision': 1.0, 'recall': 0.8333333333333334, 'f1-score': 0.9090909090909091, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 2}, 'micro avg': {'precision': 0.925, 'recall': 0.925, 'f1-score': 0.925, 'support': 80}, 'macro avg': {'precision': 0.9341991341991343, 'recall': 0.8284552845528456, 'f1-score': 0.8626460685284215, 'support': 80}, 'weighted avg': {'precision': 0.929301948051948, 'recall': 0.925, 'f1-score': 0.9225465438700733, 'support': 80}}",0.86403406,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
6,7,0.8227847814559937,"{'Basal': {'precision': 1.0, 'recall': 0.8461538461538461, 'f1-score': 0.9166666666666666, 'support': 13}, 'Her2': {'precision': 0.6666666666666666, 'recall': 1.0, 'f1-score': 0.8, 'support': 6}, 'LumA': {'precision': 0.875, 'recall': 0.8536585365853658, 'f1-score': 0.8641975308641976, 'support': 41}, 'LumB': {'precision': 0.6666666666666666, 'recall': 0.7058823529411765, 'f1-score': 0.6857142857142857, 'support': 17}, 'Normal': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 2}, 'micro avg': {'precision': 0.8227848101265823, 'recall': 0.8227848101265823, 'f1-score': 0.8227848101265823, 'support': 79}, 'macro avg': {'precision': 0.8416666666666666, 'recall': 0.7811389471360777, 'f1-score': 0.7866490299823634, 'support': 79}, 'weighted avg': {'precision': 0.8380801687763713, 'recall': 0.8227848101265823, 'f1-score': 0.8245473623110754, 'support': 79}}",0.86403406,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
7,8,0.8227847814559937,"{'Basal': {'precision': 0.9230769230769231, 'recall': 0.9230769230769231, 'f1-score': 0.9230769230769231, 'support': 13}, 'Her2': {'precision': 0.8, 'recall': 0.6666666666666666, 'f1-score': 0.7272727272727272, 'support': 6}, 'LumA': {'precision': 0.8444444444444444, 'recall': 0.926829268292683, 'f1-score': 0.8837209302325582, 'support': 41}, 'LumB': {'precision': 0.6875, 'recall': 0.6470588235294118, 'f1-score': 0.6666666666666667, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8227848101265823, 'recall': 0.8227848101265823, 'f1-score': 0.8227848101265823, 'support': 79}, 'macro avg': {'precision': 0.6510042735042736, 'recall': 0.6327263363131369, 'f1-score': 0.6401474494497752, 'support': 79}, 'weighted avg': {'precision': 0.7988572433192686, 'recall': 0.8227848101265823, 'f1-score': 0.8092345295760074, 'support': 79}}",0.86403406,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
8,9,0.8860759735107422,"{'Basal': {'precision': 1.0, 'recall': 0.9230769230769231, 'f1-score': 0.9600000000000001, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 6}, 'LumA': {'precision': 0.8809523809523809, 'recall': 0.9024390243902439, 'f1-score': 0.8915662650602411, 'support': 41}, 'LumB': {'precision': 0.7777777777777778, 'recall': 0.8235294117647058, 'f1-score': 0.7999999999999999, 'support': 17}, 'Normal': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 2}, 'micro avg': {'precision': 0.8860759493670886, 'recall': 0.8860759493670886, 'f1-score': 0.8860759493670886, 'support': 79}, 'macro avg': {'precision': 0.9317460317460317, 'recall': 0.8298090718463745, 'f1-score': 0.8636465863453815, 'support': 79}, 'weighted avg': {'precision': 0.8903958207755677, 'recall': 0.8860759493670886, 'f1-score': 0.8856651924152305, 'support': 79}}",0.86403406,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
9,10,0.8860759735107422,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 0.8333333333333334, 'recall': 0.8333333333333334, 'f1-score': 0.8333333333333334, 'support': 6}, 'LumA': {'precision': 0.8888888888888888, 'recall': 0.975609756097561, 'f1-score': 0.9302325581395349, 'support': 41}, 'LumB': {'precision': 0.9230769230769231, 'recall': 0.7058823529411765, 'f1-score': 0.8000000000000002, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8860759493670886, 'recall': 0.8860759493670886, 'f1-score': 0.8860759493670886, 'support': 79}, 'macro avg': {'precision': 0.7147741147741147, 'recall': 0.7029650884744142, 'f1-score': 0.7053057708871663, 'support': 79}, 'weighted avg': {'precision': 0.8760529203567178, 'recall': 0.8860759493670886, 'f1-score': 0.876684220281512, 'support': 79}}",0.86403406,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
